,ID,content,label
0,1,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
1,2,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
2,3,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第129次贷款审...,0
3,4,b'同意给予***信用额度300万元，全部为流动资金贷款额度，期限12个月，采用信用方式，并...,0
4,5,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2016年第106次贷款...,0
5,6,b'同意给予***信用额度280万元，全部为流动资金贷款额度，期限12个月，采用最高额抵押和...,0
6,7,b'提示：1.关注集团整体经营情况以及我国国防工业政策变化对其可能产生的影响；2.持续关注客...,0
7,8,b'1.办理分离式保证业务，支行应明确被保证人标准及范围，选择经营业绩好、盈利能力强且我行无...,0
8,9,b'提示：1、合理控制贸易融资总量，加强贸易融资的跟单管理措施，相应结算应在我行；要求客户增...,0
9,10,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
10,11,b'提示：关注境外工程国别风险，重点支持信保项下或有政策性银行支持的工程。',0
11,12,b'1.授信项下流动资金贷款使用要求采用受托支付方式办理，建议根据其下游客户的信用状况、资金...,0
12,13,b'1.关注该客户路内路外业务板块调整及利润指标改善情况、资产负债比率变化趋势，并据此及时调...,0
13,14,b'办理分离式定向保理业务时，严格子公司及供应商的筛选，注意核实交易背景的真实性，在分行相关...,0
14,15,b'1.办理定向保理业务应取得核心企业资质认定；2.关注客户资产负债率的变化趋势及其合理性，...,0
15,16,b'***上报的***信用额度业务（业务编号*****）收悉，经***201510262次审...,0
16,17,b'提示：1.关注该客户集团整体经营情况，并督促企业尽快完成下属成员单位的资金归集工作，加强...,0
17,18,b'提示支行：1、严格审查交易背景真实性，密切关注下游企业的付款情况，并注意规避出现代替项目...,0
18,19,b'同意给予***信用额度400万元，全部为流动资金贷款额度，银行承兑汇票额度可串用流动资金...,0
19,20,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第119次贷款审...,1
20,21,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
21,22,b'同意给予***信用额度500万元，全部为流动资金贷款额度，匹配“科技型小企业信用贷”产品...,0
22,23,b'同意给予***信用额度500万元，期限12个月，全部为流动资金贷款额度，匹配科技型小企业...,0
23,24,b'提示：严格核查贸易背景，规避关联交易风险。',0
24,25,b'提示支行：规范企业财务数据，应将个人经营类贷款纳入支行统一监管范围。',0
25,26,b'提示支行：1、定向保理业务不得用于支付分包工程款。2、办理业务时要核实交易背景的真实性，...,0
26,27,b'提示：1.保函业务优选受益人为具有政府背景的企业、国有企业、世界500强在华企业或者承接...,0
27,28,b'注意规范流动资金贷款用途，规范支用管理；加强其在我行结算力度，维持基本结算行地位不变；该...,1
28,29,b'1.结合***资金归集的安排，调查跟踪申请人资金结算的模式和归集整合能力，提高我行结算总...,0
29,30,b'提示支行：1、我行授信主要用于支持企业承接的北京市范围内的公路、铁路、轨道交通等基础设施...,0
30,31,b'提示：1.办理分离式保证业务被保证人限于***；2.保证业务应优选省会级城市大型优质机场...,0
31,32,b'提示：1.贷后管理应加强与西藏区分行联动，及时了解项目进展及申请人资金安排计划，做好回收...,0
32,33,b'提示：1.关注国家“一带一路”战略对客户海外业务发展的影响，我行授信优先投向政府间框架内...,0
33,34,b'提示：关注海外项目所在国家和地区的政治经济环境变化及客户履约情况，注意规避国别风险。',0
34,35,b'***上报的***信用额度业务（业务编号KHES110600000201500041）收...,0
35,36,b'提示支行：1、我行授信优先选择业主方付款能力强、付款及时的境内项目予以支持，流动资金贷款...,0
36,37,b'提示：1.授信期内客户如开展对外出口信贷业务，***未能覆盖的部分由***或***提供第...,0
37,38,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第113次贷款审...,0
38,39,b'1.进出口贸易融资额度下优选有政府背景、甲方付款能力较强的境外项目支持，注意规避国别风险...,0
39,40,b'提示：1、客户承接的工程项目多在经济欠发达地区，关注项目主体支付能力；2、客户处于整合期...,0
40,41,b'稳妥办理涉及保密单位的应收账款保理业务。',0
41,42,b'提示：1.持续关注客户经营状况及其参与的异地房地产项目情况，避免影响其正常运营资金周转；...,1
42,43,b'1、积极营销基本户转至我行，并关注公司股权变化、分红等行为，如出现不利于我行信贷资金安全...,0
43,44,b'同意给予***信用额度495万元，全部为流动资金贷款额度，期限12个月，采用信用方式，并...,0
44,45,b'提示：1.请支行密切关注企业的财务状况和经营情况，如出现重大不利变化，建议采取追加抵、质...,0
45,46,b'1、督促企业及时清理非经营占用资金，加强大额应收、应付资金的监管，关注该公司与关联企业间...,1
46,47,b'持续关注公司改制情况，关注新增股东全额缴付增资款进展情况，适时调整我行信贷政策。',0
47,48,b'1、单笔支用严格审查交易背景，加强回款监管；2、关注***股东的变化及与***的关系以及...,0
48,49,b'提示支行：1、落实最高额抵押的担保手续；持续关注出租抵押物状态，包括出租人和承租人的关联...,0
49,50,b'提示：额度授信限用于支持企业主营业务，关注企业及其下属企业非主营业务经营活动，避免在房地...,0
50,51,b'1.鉴于境外保函用于支持境外商业地产项目，工期较长，须及时并定期通过资料查阅、账户资金往...,0
51,52,b'提示支行：1、该客户将集团本部部分集采业务下放到子公司经营导致本部经营收入减少，但仍采取...,0
52,53,b'提示：关注企业持续经营能力。',0
53,54,b'提示：1、持续关注企业盈利能力能力变化，若其持续出现经营亏损，应根据企业实际情况调整我行...,0
54,55,b'授信存续期内，企业新签合同回款账户应设定为我行账户，我行销售收入归行率应与我行贷款占比相...,0
55,56,b'借款人关联企业在建行系统发生新增授信需求，应及时按相关规定发起集团授信。',0
56,57,b'提示：关注企业实际控制人控制的其他企业和本企业在财务资源占用上是否有隔离制度，防止出现不...,0
57,58,b'提示：1、密切关注企业应收账款的回收情况；2、提高客户在我行的结算率；3、保证质押物的有...,0
58,59,b'提示：1、授信项下额度优先用于军品业务；2、授信期内确保***的控股地位不变。',0
59,60,b'1、关注借款人应收账款的变化趋势，督促其加强销售款项的回收措施，防范企业流动性经营风险。...,0
60,61,b'提示：1、关注借款人主导产品市场份额的稳定性及行业竞争情况；2、额度支用注意核实贸易背景...,0
61,62,b'提示：1.办理3年期（不含）以上非融资性保证，担保方式不低于我行产品担保底线；2.支用经...,0
62,63,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第136次贷款审...,0
63,64,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第120次贷款审...,0
64,65,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第130次贷款审...,0
65,66,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
66,67,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第79次贷款审批...,0
67,68,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第90次贷款审批...,0
68,69,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第109次贷款审...,1
69,70,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
70,71,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2017年第142次贷款...,0
71,72,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
72,73,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
73,74,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2018年第60次贷款审...,1
74,75,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
75,76,b'同意给予***信用额度420万元，全部为流动资金贷款额度，期限12个月。采用最高额抵押并...,0
76,77,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2018年第173次贷款审...,0
77,78,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
78,79,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2019年第214次贷款...,0
79,80,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
80,81,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
81,82,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2020年第3次贷款审批...,0
82,83,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2022年第21次贷款审...,0
83,84,b'提示：1、定向保理额度支用优先选择长期合作的供货商，防范操作风险；2、授信支持项目回款在...,0
84,85,b'提示：我行授信主要支持企业在京工程项目，以及南水北调涉及的相关工程项目。',0
85,86,b'提示：关注该公司应收账款规模、期限结构、交易对手及回款情况，根据企业经营现金回流情况，合...,0
86,87,b'提示：1.保理业务要求采用有追公开保理或第三方担保保理模式；办理定向保理须完成核心客户审...,0
87,88,b'同意给予***信用额度600万元，期限12个月，其中流动资金贷款额度400万元，匹配使用...,0
88,89,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
89,90,b'提示：1.非融资性保证业务须关注***主体工程合同业务与***的签署情况，该分项工程相关...,0
90,91,b'1、加强资金流向监管，我行支持业务在我行结算；2、关注固安项目进展情况及客户整体负债规模。',0
91,92,b'1、流动资金贷款支用应匹配具体商务合同和企业自有资金投入，合理确定信贷额度和期限；2、关...,0
92,93,b'提示：1、落实好土地房产最高额抵押手续，抵押物权属清晰无法律纠纷，抵押率符合我行有关规定...,0
93,94,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2015年第169次贷款审...,0
94,95,b'提示：1、关注客户在***授信的使用情况；2、本授信方案不含一年期以上非融资性保证业务。',0
95,96,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第124次贷款审...,0
96,97,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第208次贷款审...,0
97,98,b'你行经CLPM系统申报的业务编号为KHES1106500002016O00016的审批事...,0
98,99,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
99,100,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第215次贷款审...,0
100,101,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2018年第202次贷款审...,0
101,102,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
102,103,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2019年第222次贷款审...,0
103,104,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2020年第181次贷款审...,0
104,105,b'你行经新一代系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批决...,0
105,106,b'提示：1、流动资金贷款对应项目进行管理、受托支付，不得置换他行贷款；2、审慎确定融资租赁...,0
106,107,b'提示支行：1、我行信贷资金不支持企业承接的异地工程项目，建议优先选择买方资信良好、现金流...,0
107,108,b'提示：办理银行承兑汇票业务加强贸易背景审核，加强销售回款监控，提前落实还款来源。',0
108,109,b'提示：1.规范使用供应链产品，开证时重点对贸易背景真实性及供应商的货源组织能力等履约能力...,0
109,110,b'提示支行：1、定向保理仅限于原材料采购，不能用于支付分包项目的劳务费；2、关注该客户20...,0
110,111,b'提示：1.流动资金贷款额度仅用于国家原油储备，贷款期限与原油储备周转、财政资金拨付周期相...,0
111,112,b'提示：1.本次信用额度仅限该客户本部使用；2、供应链融资产品注意审核贸易背景。',0
112,113,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
113,114,b'同意给予***信用额度500万元，全部为流动资金贷款额度，匹配产品融易贷，期限一年，采用...,0
114,115,b'提示：1.规范流动资金贷款用途，不能用于下属项目公司；根据客户实际承接工程合理匹配贷款金...,0
115,116,b'提示支行：1、办理授信项下相关产品时注意落实相关担保手续；加强贷款用途规范性管理，保证信...,0
116,117,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
117,118,b'1、鉴于客户主要向关联公司采购，我行信贷资金将（含承兑汇票）通过贸易的形式进入了其生产企...,1
118,119,b'同意给予***信用额度300万元，全部为流动资金贷款额度（承诺性额度），期限12个月，匹...,0
119,120,b'同意给予***信用额度450万元，全部为流动资金贷款额度，匹配科技型小企业信用贷产品，期...,0
120,121,b'同意给予***信用额度480万元，全部为流动资金贷款额度，匹配税易贷产品，期限12个月，...,1
121,122,b'同意给予***信用额度300万元，全部为流动资金贷款额度（承诺性额度），匹配使用税易贷产...,0
122,123,b'同意给予***信用额度450万元，全部为流动资金贷款额度，匹配科技型小企业信用贷产品，期...,0
123,124,b'同意给予***信用额度490万元，期限12个月，全部为流动资金贷款额度，匹配使用税易贷产...,0
124,125,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2019年第4次贷款审批...,0
125,126,b'同意给予***信用额度450万元，全部为流动资金贷款额度，匹配科技型小企业信用贷产品，期...,0
126,127,b'同意给予***信用额度450万元，全部为流动资金贷款额度，匹配双创云贷产品，期限12个月...,0
127,128,b'提示：1.授信额度仅用于支持企业主营业务，经营周转类额度支用规模与企业实际工程量相匹配；...,0
128,129,b'提示支行：关注该客户2014年审计年报披露的客户经营情况和盈利能力，分析判断客户偿债能力...,0
129,130,b'1.规范流动资金贷款用途，以国家政府项目为主要支持方向，不得挪用于下属房地产企业进行项目...,0
130,131,b'1、贷款优先支用抵押覆盖额度，且不得置换他行贷款；2、对应项目进行管理，贷款金额、期限应...,0
131,132,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2016年第9次贷款审批...,0
132,133,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第62次贷款审批...,0
133,134,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
134,135,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
135,136,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
136,137,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
137,138,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
138,139,b'你行经新一代系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批决...,0
139,140,b'同意给予***信用额度500万元，期限12个月，采用信用方式，匹配科技创业贷产品，企业主...,0
140,141,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
141,142,b'提示：1、采用异地抵押物应综合考虑当地房地产市场情况、抵押物实际租赁使用情况以及贷后管理...,0
142,143,b'提示：1.授信期内进出口贸易融资及国内贸易融资应做好跟单管理，优选合作时间较长，付款能力...,0
143,144,b'提示：1.关注***成立后企业的投融资安排，加强与财务公司合作，做好资金流向监控，注意提...,0
144,145,b'同意给予***信用额度280万元，全部为流动资金贷款额度，期限12个月，采用最高额抵押和...,0
145,146,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第199次贷款审...,0
146,147,b'同意给予***信用额度380万元（承诺性额度），全部为流动资金贷款额度，期限12月，采用...,0
147,148,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
148,149,b'同意给予***信用额度500万元，期限12个月，全部为流动资金贷款额度，匹配科技型信用贷...,0
149,150,b'同意给予***办理信用额度500万元，全部为流动资金贷款额度，匹配科技创业贷产品，期限1...,0
150,151,b'提示支行：加强贸易融资业务贸易背景真实性的审核；我行支持的贸易融资业务应全部在我行结算。',0
151,152,b'1.加强与所属集团管辖行的沟通，了解集团整体经营情况和财务情况；关注企业在所属建筑领域的...,0
152,153,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第14次贷款审批...,0
153,154,b'同意给予***信用额度100万元，全部流动资金贷款额度（不可循环），期限12个月，匹配“...,0
154,155,b'提示支行：1、积极营销客户基本账户转移到我行。2、提高该客户在我行的结算率。',0
155,156,b'同意给予***300万元额度授信，全部为流动资金贷款额度，期限12个月，采用房产最高额抵...,0
156,157,b'同意给予***信用额度300万元，期限12个月，全部流动资金贷款额度，担保方式采用房产抵...,0
157,158,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
158,159,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
159,160,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2020年第107次贷款...,1
160,161,b'同意给予***信用额度500万元，全部为流动资金贷款，匹配科技型小企业信用贷产品，期限1...,0
161,162,b'提示：持续关注纳米比亚项目已完成投资情况及达产时间，在测算企业、项目未来现金流情况的基础...,0
162,163,b'提示：关注经审计的2014年度企业财务数据，如有不利变化，及时重检。',0
163,164,b'三、提示支行：关联企业如有授信需求应及时纳入集团授信管理。',0
164,165,"b'1、境外应优先用于***、***、***及当地政府支持的付款有保证的施工项目,规避国家和...",0
165,166,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第111次贷款审...,0
166,167,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
167,168,b'提示：关注徐州项目建设进度，避免过度抽取***日常营运资金而影响我行信贷资产安全。',0
168,169,b'提示支行：1.关注关联企业经营变化情况，贷款存续期间如与我行有信贷合作意向，应纳入集团授...,0
169,170,b'关注该公司应收账款期限结构、交易对手及回款情况，充分考虑下游客户行业周期性调整对其回款的...,0
170,171,b'提示：1.贷款优先选择具有政府背景且回款有保障的项目予以支持；我行贷款支持的项目应采取建...,0
171,172,b'提示：1、关注集团内部企业资金往来情况，注意规避关联交易风险；2、关注客户业务分离及集团...,0
172,173,b'同意给予***信用额度授信（成长之路）275万元，期限12个月，其中抵押类流动资金贷款额...,0
173,174,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2015年第209次贷款审...,0
174,175,b'同意给予***信用额度244万元，其中流动资金贷款额度200万元（善融贷）、保证额度44...,0
175,176,b'你行经CLPM系统申报的业务编号*****的审批事项，经***2016年第11次贷款审批...,0
176,177,b'同意给予***信用额度（成长之路）240万元，期限12个月，全部为流动资金贷款额度（包含...,0
177,178,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
178,179,b'你行经CLPM系统申报的业务编号为KHES1107500002016O00016的审批事...,0
179,180,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第225次贷款审...,0
180,181,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2017年第29次贷款审...,0
181,182,b'同意给予***信用额度150万元，全部为流动资金贷款额度，匹配善融贷产品，期限12个月，...,0
182,183,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2017年第94次贷款审...,0
183,184,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2018年第31次贷款审...,0
184,185,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2018年第71次贷款审...,0
185,186,b'同意给予***信用额度490万元，全部为流动资金贷款额度，匹配税易贷产品，期限12个月，...,0
186,187,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2019年第43次贷款审...,0
187,188,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2019年第104次贷款...,0
188,189,b'同意给予***信用额度490万元，全部为流动资金贷款额度，期限12个月，担保方式采用房产...,0
189,190,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
190,191,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
191,192,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
192,193,b'同意给予***信用额度480万元，期限12个月，全部为流动资金贷款额度，其中存量流动资金...,0
193,194,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...,0
194,195,b'同意给予***信用额度480万元，期限12个月，全部为流动资金贷款额度，其中存量流动资金...,0
195,196,b'同意给予***信用额度490万元，全部为流动资金贷款额度，期限12个月，担保方式采用**...,0
196,197,b'同意给予***信用额度490万元，全部为流动资金贷款额度，期限12个月，担保方式采用**...,0
197,198,b'同意给予***信用额度200万元，全部为流动资金贷款额度，匹配税易贷产品，期限12个月，...,0
198,199,b'同意给予***信用额度100万元，期限12个月，全部为流动资金贷款额度，由***提供第三...,0
199,200,b'同意给予***信用额度990万元，全部为流动资金贷款额度，期限12个月，其中580万元额...,0
200,201,b'同意给予***信用额度200万元，全部为流动资金贷款额度，匹配税易贷产品，期限12个月，...,0
